Board,Pile,Tile,Score
1102,3,2,-20
0140,2,2,22
0057,3,4,104
0013,3,2,-46
1310,1,1,16
1200,1,1,-80
1354,1,2,0
0154,2,3,6
0121,3,1,57
1051,2,5,-30
1005,0,1,6
1056,3,6,1
1040,2,3,-10
0351,2,1,10
0041,3,1,13
0337,3,2,10
0235,2,2,6
0205,3,5,-14
0317,3,6,-1
0354,2,4,34
0311,3,1,25
1216,1,2,-2
1006,3,5,-14
0246,3,3,5
0233,2,2,10
0113,1,1,15
0057,2,3,58
0014,3,2,40
0025,3,3,31
0021,2,2,340
1056,3,4,4
1047,2,1,29
0352,2,4,26
0212,1,1,4
0034,2,1,25
0023,2,2,-9
1320,0,1,18
0355,3,2,6
0153,3,2,21
0150,2,1,33
1152,1,1,19
1254,2,4,-4
1114,0,1,-6
0104,1,1,19
1051,2,4,80
0047,3,5,9
0022,2,1,83
1336,1,2,6
1036,2,2,3
1014,3,2,3
1147,1,1,58
0047,3,3,5
0041,2,4,65
1322,1,3,1
0022,3,1,84
0356,2,1,12
0046,3,3,6
0040,2,2,-110
1300,1,2,-46
1053,3,1,8
0052,2,3,39
0353,1,1,49
1314,1,2,8
1104,1,1,30
1002,3,2,165
1251,1,2,28
1050,2,3,66
0347,3,7,32
0337,1,1,62
0037,3,3,-5
0033,3,3,-8
0016,3,3,5
1107,3,6,50
0355,3,4,7
0301,1,2,-80
1351,3,1,37
1340,2,2,-6
0337,1,3,37
0036,3,2,9
0033,3,2,41
0021,2,1,-148
1325,3,3,15
0257,3,2,38
0055,3,2,24
0052,2,4,77
1037,2,3,44
1350,1,2,36
1130,2,3,-4
1217,2,1,38
0207,3,5,14
1117,2,1,42
1104,0,1,30
0352,1,3,36
0050,2,3,-132
1156,3,5,16
0151,2,2,13
0031,2,3,110
1007,3,2,33
0347,3,5,31
0340,1,1,29
0140,2,1,5
0353,2,1,30
0341,3,1,18
1333,1,1,6
1033,2,3,5
0057,3,7,38
0015,2,1,52
1057,2,4,16
1016,0,1,24
0353,1,2,61
0157,2,3,22
0117,3,1,9
0016,2,1,56
0301,3,1,-16
0004,3,2,-102
0012,3,1,-98
1303,1,1,14
1350,2,3,46
1037,2,1,25
0027,3,3,18
0015,3,3,44
1051,2,3,13
1237,0,1,39
0217,1,2,14
1217,0,1,13
0207,1,1,77
1324,0,1,32
1050,2,1,20
0040,2,1,-25
0350,2,5,14
0355,2,3,3
0324,3,3,5
0311,2,1,61
1333,0,1,50
0313,2,1,23
1137,1,1,36
0307,3,3,57
1151,1,1,40
0337,3,7,20
0130,1,1,11
1054,0,1,31
0240,1,1,-6
1255,2,4,6
0215,1,1,7
1052,3,2,39
1121,3,1,0
1100,1,1,345
1323,0,1,13
0320,1,1,47
1150,0,1,60
1017,3,4,20
0337,2,2,68
0316,2,1,31
0106,3,6,55
0347,2,4,54
0306,3,6,6
1154,3,3,8
1351,1,1,28
0251,3,1,64
0150,1,1,72
0131,1,1,32
1325,3,1,-4
1307,3,1,15
0306,3,3,-6
0203,1,2,12
1302,1,1,26
1201,3,1,47
0307,3,2,110
0205,3,1,5
0201,1,2,275
0117,3,5,4
0005,3,1,49
1340,1,3,5
0352,3,2,53
0340,1,2,24
1057,2,5,36
1003,3,1,46
0337,1,2,19
0107,3,3,23
1346,1,2,8
0146,3,6,-4
1037,0,1,62
0032,3,1,46
0353,2,3,39
0313,1,1,21
0203,1,1,47
1331,2,2,8
0210,1,2,255
1156,2,5,25
0106,3,2,21
1157,3,6,18
1350,2,1,-2
1330,1,1,17
0351,2,2,30
0031,3,1,13
0257,2,2,34
0037,3,5,11
1305,3,2,13
0257,2,1,46
0241,1,1,2
0041,2,1,-7
1137,2,3,4
1106,3,2,8
0257,2,4,51
0117,3,3,25
0152,1,1,43
0051,2,1,17
1150,2,3,-6
1100,0,1,420
0352,2,5,5
1027,3,3,11
0024,2,2,23
0350,1,3,69
0225,2,2,-4
0201,1,1,-80
0356,2,2,22
0136,1,1,6
1350,1,3,21
0356,3,1,1
0325,1,1,11
0025,2,1,30
0221,3,1,36
1127,1,1,23
1007,3,5,48
0127,1,1,21
0023,3,1,26
1330,0,1,22
0130,2,2,-46
1341,2,1,10
0331,2,3,10
0207,3,3,10
1313,3,3,28
0310,1,1,121
1353,2,5,6
1103,3,2,40
1017,2,1,89
0034,2,3,-1
1317,3,7,16
1300,0,1,-15
0307,3,7,9
1307,1,2,71
1103,1,1,13
0352,2,1,11
0341,1,2,6
0017,3,7,165
1250,1,1,16
1110,2,1,-34
1334,2,1,13
1314,1,3,8
0014,3,4,100
1051,2,1,37
1250,2,2,14
1130,1,1,21
1304,1,1,6
1307,3,3,40
1303,1,2,28
1057,3,4,22
1020,2,2,195
0306,3,4,19
1317,0,1,64
0312,1,3,19
0353,3,3,26
0354,1,3,7
0014,3,1,15
1237,2,1,3
1217,3,2,6
0215,3,4,-2
0127,3,3,13
0031,2,2,-48
1007,3,7,85
1327,0,1,25
0107,3,6,-48
1227,2,1,21
1207,3,7,18
0354,3,2,26
0322,1,2,16
1152,3,2,13
0124,3,2,1
0355,1,1,52
0252,1,2,23
0007,3,4,43
0257,3,3,19
0244,3,2,3
0331,1,3,24
0154,3,1,8
0152,2,1,11
0141,3,1,18
0336,1,1,1
0233,2,1,1
0127,2,2,12
0057,3,6,66
0320,1,3,-22
1307,3,2,21
1205,1,2,-2
1352,3,2,13
0055,3,4,27
1012,3,1,35
1010,0,1,460
